rank_in_side,channel,lean,subscribers,subscribers_display,total_views,total_views_display,category_note,source,confidence
1,The Young Turks,Left,6720000,6.72M,7540000000,7.54B,Left commentary / progressive news network,SocialBlade US News&Politics list 2026-09-12,high
2,MeidasTouch,Left,6460000,6.46M,10742154003,10.74B,Left/pro-democracy activist media network,SocialBlade handle @meidastouch 2026-09-12,high
3,Brian Tyler Cohen,Left,5250000,5.25M,5460000000,5.46B,Left political commentary,SocialBlade US News&Politics list 2026-09-12,high
4,NowThis Impact,Left,5210000,5.21M,5176710478,5.18B,Left-leaning digital news/commentary,SocialBlade handle @nowthisimpact 2026-09-12,high
5,More Perfect Union,Left,3930000,3.93M,807232911,807.2M,Left/working-class progressive newsroom,SocialBlade handle @moreperfectunion 2026-09-12,high
6,David Pakman Show,Left,3660000,3.66M,3800000000,3.8B,Left/liberal political commentary,SocialBlade US News&Politics list 2026-09-12,high
7,Democracy Now!,Left,3390000,3.39M,1360000000,1.36B,Left progressive independent news,SocialBlade US News&Politics list 2026-09-12,high
8,AJ+,Left,2530000,2.53M,732520000,732.5M,Left-leaning Al Jazeera digital / progressive-coded,SocialBlade US News&Politics list 2026-09-12,medium
9,Secular Talk,Left,2290000,2.29M,1984537837,1.98B,Left progressive commentary (Kyle Kulinski),SocialBlade handle @seculartalk 2026-09-12,high
10,The Majority Report w/ Sam Seder,Left,2090000,2.09M,1475216281,1.48B,Left progressive commentary,SocialBlade handle @themajorityreport 2026-09-12,high
11,Luke Beasley,Left,1570000,1.57M,905497323,905.5M,Left political commentary,SocialBlade handle @lukebeasley 2026-09-12,high
12,Jack Cocchiarella,Left,1500000,1.5M,802777364,802.8M,Left political commentary,youtubers.me / search aggregate ~Sep 2026,medium
13,TYT Politics,Left,1500000,1.5M,,,Left / TYT network politics vertical,User/Feedspot political list (~1.5M),medium
14,Bernie Sanders,Left,1400000,1.4M,190038266,190M,Left progressive politician official,SocialBlade handle @berniesanders 2026-09-12,high
15,The Ring of Fire,Left,1360000,1.36M,1549669157,1.55B,Left progressive commentary,SocialBlade handle @theringoffire 2026-09-12,high
16,Jesse Dollemore (Dollemore),Left,1300000,1.3M,651144706,651.1M,Left political commentary,SocialBlade handle @dollemore 2026-09-12,high
17,Pod Save America,Left,1280000,1.28M,368897687,368.9M,Left/Dem-aligned podcast channel,SocialBlade handle @podsaveamerica 2026-09-12,high
18,Some More News,Left,943000,943K,223995745,224M,Left comedy-news commentary,SocialBlade handle @smn 2026-09-12,high
19,Pondering Politics,Left,861000,861K,517977038,518M,Left political commentary,SocialBlade handle @ponderingpolitics 2026-09-12,high
20,The Humanist Report,Left,789000,789K,256055250,256.1M,Left progressive commentary,SocialBlade handle @thehumanistreport 2026-09-12,high
21,The Rational National,Left,779000,779K,288550433,288.6M,Left progressive commentary,SocialBlade handle @therationalnational 2026-09-12,high
22,PoliticsGirl,Left,504000,504K,79420088,79.4M,Left political commentary,SocialBlade handle @politicsgirl 2026-09-12,high
23,David Feldman,Left,310000,310K,,,Left-leaning comedy/politics,Feedspot political list 2026,low
24,Raw News And Politics,Left,275000,275K,,,Left-leaning news commentary,Feedspot political list 2026,low
25,BadEmpanada,Left,206000,206K,,,Left/anti-imperialist commentary,Feedspot political list 2026,medium
26,Egberto Willies (Politics Done Right),Left,44000,44K,,,Left progressive commentary,Feedspot political list 2026,low
