rank_in_side,channel,lean,subscribers,subscribers_display,total_views,total_views_display,category_note,source,confidence
1,Turning Point USA,Right,7670000,7.67M,3530000000,3.53B,Right activist / Charlie Kirk org,SocialBlade US News&Politics list 2026-09-12,high
2,Ben Shapiro,Right,6980000,6.98M,4790000000,4.79B,Right commentary / Daily Wire,SocialBlade US News&Politics list 2026-09-12,high
3,Benny Johnson,Right,6100000,6.1M,5028466191,5.03B,Right activist commentary,SocialBlade handle @bennyjohnson 2026-09-12,high
4,Candace Owens,Right,6080000,6.08M,1560000000,1.56B,Right commentary,SocialBlade US News&Politics list 2026-09-12,high
5,StevenCrowder,Right,5910000,5.91M,2095577901,2.1B,Right comedy-commentary,SocialBlade handle @stevencrowder 2026-09-12,high
6,Charlie Kirk,Right,5890000,5.89M,1380000000,1.38B,Right activist commentary,SocialBlade US News&Politics list 2026-09-12,high
7,Tucker Carlson,Right,5750000,5.75M,1694567255,1.69B,Right commentary,SocialBlade handle @tuckercarlson 2026-09-12,high
8,Megyn Kelly,Right,4150000,4.15M,3380000000,3.38B,Right/center-right commentary,SocialBlade US News&Politics list 2026-09-12,high
9,Donald J Trump,Right,3960000,3.96M,933880000,933.9M,Right / official political,SocialBlade US News&Politics list 2026-09-12,high
10,The Officer Tatum,Right,3840000,3.84M,2216562832,2.22B,Right commentary,SocialBlade handle @theofficertatum 2026-09-12,high
11,PragerU,Right,3470000,3.47M,2721401425,2.72B,Right educational/activist media,SocialBlade handle @prageru 2026-09-12,high
12,Matt Walsh,Right,3460000,3.46M,1554401786,1.55B,Right commentary / Daily Wire,SocialBlade handle @mattwalsh 2026-09-12,high
13,The Daily Wire,Right,3230000,3.23M,1100000000,1.1B,Right media network,SocialBlade US News&Politics list 2026-09-12,high
14,The Rubin Report,Right,3230000,3.23M,2670000000,2.67B,Right/classical-liberal commentary,SocialBlade US News&Politics list 2026-09-12,high
15,Conservative Twins,Right,2980000,2.98M,903280000,903.3M,Right commentary (Hodgetwins main listing),SocialBlade US News&Politics list 2026-09-12,high
16,Redacted,Right,2880000,2.88M,982520000,982.5M,Right-leaning alternative news/commentary,SocialBlade US News&Politics list 2026-09-12,medium
17,Michael Knowles,Right,2610000,2.61M,1410000000,1.41B,Right commentary / Daily Wire,SocialBlade US News&Politics list 2026-09-12,high
18,Newsmax,Right,2590000,2.59M,992910000,992.9M,Right cable/news,SocialBlade US News&Politics list 2026-09-12,high
