rank,handle,channel,subscribers,subscribers_display,total_views,total_views_display,videos_display,us_lean,lean_note,source
1,cnn,CNN,19800000,19.8M,21420000000,21.42B,186.63K,Left,Left-leaning cable/news,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
2,abcnews,ABC News,19800000,19.8M,18910000000,18.91B,119.62K,Center/Institutional,Institutional/center news,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
3,foxnews,Fox News,15500000,15.5M,26710000000,26.71B,144.1K,Right,Right-leaning cable/news,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
4,dallmyd,DALLMYD,13800000,13.8M,2210000000,2.21B,481,Non-political / other,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
5,insideedition,Inside Edition,13800000,13.8M,25870000000,25.87B,37.33K,Center/Institutional,Entertainment news (nonpartisan),SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
6,vox,Vox,12700000,12.7M,3850000000,3.85B,2.39K,Left,Left-leaning explanatory,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
7,businessinsider,Business Insider,10600000,10.6M,6680000000,6.68B,8.12K,Center/Institutional,Business news,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
8,nmasunivision,N+ UNIVISION,10400000,10.4M,6300000000,6.3B,98.91K,Non-US / International,Not coded as US left/right,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
9,msnow,MS NOW,9980000,9.98M,21140000000,21.14B,120.31K,Left,Left-leaning cable/news,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
10,24newshd,24 News HD,9590000,9.59M,4570000000,4.57B,233.92K,Non-US / International,Not coded as US left/right,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
11,noticias,Noticias Telemundo,9320000,9.32M,6480000000,6.48B,111.58K,Non-US / International,Not coded as US left/right,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
12,vicenews,VICE News,9300000,9.3M,3490000000,3.49B,6.98K,Left,Left-leaning news,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
13,alofokeradioshow,Alofokeradioshow,9090000,9.09M,2600000000,2.6B,8.59K,Non-US / International,Not coded as US left/right,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
14,dbcnewstv,DBC NEWS,8430000,8.43M,5010000000,5.01B,243.21K,Non-US / International,Not coded as US left/right,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
15,noticiascaracol,Noticias Caracol,7940000,7.94M,4590000000,4.59B,137.11K,Non-US / International,Not coded as US left/right,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
16,turningpointusa,Turning Point USA,7670000,7.67M,3530000000,3.53B,8.03K,Right,Right activist,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
17,usatoday,USA TODAY,7560000,7.56M,5230000000,5.23B,36.5K,Center/Institutional,Institutional/center news,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
18,cbsnews,CBS News,7080000,7.08M,6710000000,6.71B,155.02K,Center/Institutional,Institutional/center news,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
19,showcarlosduran,El Show De Carlos Durán,6990000,6.99M,1590000000,1.59B,1.44K,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
20,benshapiro,Ben Shapiro,6980000,6.98M,4790000000,4.79B,10.8K,Right,Right commentary,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
21,newscentraltoday,News Central,6960000,6.96M,755650000,755.65M,42.63K,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
22,theyoungturks,The Young Turks,6720000,6.72M,7540000000,7.54B,73.4K,Left,Left commentary,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
23,wsj,The Wall Street Journal,6690000,6.69M,2600000000,2.6B,28.94K,Center/Institutional,Institutional/center-right business news,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
24,realcandaceo,Candace Owens,6080000,6.08M,1560000000,1.56B,1.85K,Right,Right commentary,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
25,realcharliekirk,Charlie Kirk,5890000,5.89M,1380000000,1.38B,2.38K,Right,Right commentary,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
26,alrojovivo,Al Rojo Vivo,5680000,5.68M,3500000000,3.5B,66.66K,Non-US / International,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
27,livenowfox,LiveNOW from FOX,5620000,5.62M,4910000000,4.91B,33.23K,Right,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
28,forbesbreakingnews,Forbes Breaking News,5600000,5.6M,7450000000,7.45B,184.9K,Unclear,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
29,cnnee,CNN en Español,5590000,5.59M,2040000000,2.04B,27K,Left,Left-leaning cable/news,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
30,mytruecrimenews,True Crime News,5570000,5.57M,2690000000,2.69B,4.43K,Non-political / other,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
31,pbsnewshour,PBS NewsHour,5360000,5.36M,3220000000,3.22B,62.95K,Center/Institutional,,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
32,briantylercohen,Brian Tyler Cohen,5250000,5.25M,5460000000,5.46B,8.66K,Left,Left commentary,SocialBlade US News & Politics top 100 by subscribers (fetched 2026-09-12)
