year,as_of,left_fixed_sum,left_fixed_n,left_fixed_median,left_fixed_n_interp,left_fixed_yoy,right_fixed_sum,right_fixed_n,right_fixed_median,right_fixed_n_interp,right_fixed_yoy,right_minus_left_yoy,right_share_of_partisan,mega_fixed_sum,mega_fixed_n,mega_fixed_median,mega_fixed_yoy,left_yoy_minus_mega,right_yoy_minus_mega,overall_wiki_top50_sum,overall_wiki_top50_n,overall_wiki_top50_yoy,overall_wiki_note,left_expanding_sum,left_expanding_n,right_expanding_sum,right_expanding_n,source_notes
2014,2014-12-31,,0,,0,,,0,,0,,,,32706372,1,32706372,,,,224396621,15,,Counts often Wikipedia-rounded to millions for mid years; 2014 exact; panel is then-top ~50 not fixed-100.,,,,,Fixed early panel; SB milestones + press + 2026 CSV; wiki top50 overall. Views sparse historically.
2015,2015-12-31,300000,3,25000,0,,525000,3,250000,0,,,0.6363636363636364,68025000,6,10000000,,,,313000000,20,0.3948516631184032,Mid-2015 Wikipedia top-25 users list (million-rounded); Dec 2015 revision truncated without full table.,,,,,Fixed early panel; SB milestones + press + 2026 CSV; wiki top50 overall. Views sparse historically.
2016,2016-12-31,2681440,8,181121,6,,3501170,11,250000,6,,,0.5662931997974965,106090136,7,14000000,,,,331000000,19,0.05750798722044728,Counts often Wikipedia-rounded to millions for mid years; 2014 exact; panel is then-top ~50 not fixed-100.,,,,,Fixed early panel; SB milestones + press + 2026 CSV; wiki top50 overall. Views sparse historically.
2017,2017-12-31,4916371,8,318849,7,0.833481636732502,5694409,11,628947,8,0.6264303075828938,-0.20705132914960822,0.5366626204671099,162522688,7,26726233,0.531930244674208,0.30155139205829395,0.09450006290868573,390000000,19,0.1782477341389728,Counts often Wikipedia-rounded to millions for mid years; 2014 exact; panel is then-top ~50 not fixed-100.,,,,,Fixed early panel; SB milestones + press + 2026 CSV; wiki top50 overall. Views sparse historically.
2018,2018-12-31,6881538,8,495000,6,0.3997190203912601,10006003,11,1000000,3,0.7571626836077282,0.3574436632164681,0.592507991542404,275201851,7,37162258,0.6933134344910663,-0.2935944140998062,0.0638492491166619,634000000,28,0.6256410256410256,Counts often Wikipedia-rounded to millions for mid years; 2014 exact; panel is then-top ~50 not fixed-100.,,,,,Fixed early panel; SB milestones + press + 2026 CSV; wiki top50 overall. Views sparse historically.
2019,2019-12-31,8304106,8,669501,7,0.20672239258142583,13438340,11,1138228,9,0.3430277804234118,0.13630538784198598,0.618069374531274,395898402,7,50000000,0.4385746337149455,-0.23185224113351965,-0.09554685329153367,1147000000,24,0.8091482649842271,Counts often Wikipedia-rounded to millions for mid years; 2014 exact; panel is then-top ~50 not fixed-100.,,,,,Fixed early panel; SB milestones + press + 2026 CSV; wiki top50 overall. Views sparse historically.
2020,2020-12-31,9660270,8,794687,5,0.16331246253359483,17178314,11,1350117,7,0.2783062491349378,0.11499378660134296,0.6400603698019239,496931827,7,51515615,0.255200385981856,-0.09188792344826119,0.023105863153081774,1738000000,29,0.5152571926765476,Counts often Wikipedia-rounded to millions for mid years; 2014 exact; panel is then-top ~50 not fixed-100.,,,,,Fixed early panel; SB milestones + press + 2026 CSV; wiki top50 overall. Views sparse historically.
2021,2021-12-31,10908151,8,935800,7,0.12917661721670307,21533322,11,1467363,11,0.2535177782872056,0.12434116107050255,0.6637590716056574,597215871,7,75047021,0.20180644215408647,-0.0726298249373834,0.05171133613311915,692000000,7,-0.6018411967779056,Counts often Wikipedia-rounded to millions for mid years; 2014 exact; panel is then-top ~50 not fixed-100.,,,,,Fixed early panel; SB milestones + press + 2026 CSV; wiki top50 overall. Views sparse historically.
2022,2022-12-31,12474339,8,1191860,7,0.1435796039127071,24691186,11,1631706,9,0.14665010814401977,0.003070504231312665,0.6643572504357197,665634570,7,86489028,0.1145627608412972,0.029016843071409906,0.03208734730272257,1275000000,12,0.8424855491329479,Counts often Wikipedia-rounded to millions for mid years; 2014 exact; panel is then-top ~50 not fixed-100.,,,,,Fixed early panel; SB milestones + press + 2026 CSV; wiki top50 overall. Views sparse historically.
2023,2023-12-31,14319852,8,1431110,6,0.1479447528241777,27246341,11,1854317,11,0.10348449847650089,-0.04446025434767682,0.6554928184065353,836535162,7,100000000,0.25674837170791776,-0.10880361888374004,-0.15326387323141688,1683000000,14,0.32,Counts often Wikipedia-rounded to millions for mid years; 2014 exact; panel is then-top ~50 not fixed-100.,,,,,Fixed early panel; SB milestones + press + 2026 CSV; wiki top50 overall. Views sparse historically.
